"ServerName"
"smartsign01"
"ssgaadc01"
"SSGACCESS02"
"ssgadmin02"
"SSGAT06"
"ssgatacenter01"
"ssgca10"
"ssgdc08"
"ssgftp03"
"ssglms01"
"ssgonpremgw01"
"SSGPRINT06"
"SSGREGLEV02"
"SSGSECURITY01"
"SSGSECURITY02"
"SSGSERVICE02"
"ssgsmtp01"
"ssgsql02"
"ssgsql03"
"SSGSTD01"
"ssgtest01"
"ssgtest03"
"SSGUSER02"
"ssgweb07"
"testonpremgw01"
"utvlms01"
"UTVREGLEV02"
"utvsql03"
"UTVUSER03"
"UTVWEB02"
